Occhieppo Superiore comune,Occhieppo Superiore comune.1
,
Occhieppo Superiore – VedutaPanorama,Occhieppo Superiore – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Emanuele Ramella Pralungo (lista civica Impegno per Occhieppo) dal 7-6-2009
Territorio,Territorio
Coordinate,45°33′57.6″N 8°00′08.64″E
Altitudine,465 m s.l.m.
Superficie,"5,15 km²"
Abitanti,2 538[1] (30-11-2025)
Densità,"492,82 ab./km²"
Frazioni,"Fiario, Galfione, Pasquario (sede comunale), Villa[2]"
Comuni confinanti,"Biella, Camburzano, Muzzano, Occhieppo Inferiore, Pollone, Sordevolo"
Altre informazioni,Altre informazioni
Cod. postale,13898
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096041
Cod. catastale,F993
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 909 GG[4]"
Nome abitanti,occhieppesi
Cartografia,Cartografia
Occhieppo Superiore,Occhieppo Superiore
Occhieppo Superiore – Mappa,Occhieppo Superiore – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
