Sagliano Micca comune,Sagliano Micca comune.1
,
Sagliano Micca – VedutaIl paese visto dalla frazione Oneglie,Sagliano Micca – VedutaIl paese visto dalla frazione Oneglie
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Alessandro Blotto (SìAmo Sagliano) dal 9-6-2024
Territorio,Territorio
Coordinate,45°37′N 8°03′E
Altitudine,589 m s.l.m.
Superficie,"14,61 km²"
Abitanti,1 589[1] (30-11-2025)
Densità,"108,76 ab./km²"
Frazioni,"Casale, Passobreve, Oneglie, Falletti, Code Inferiore e Code Superiore"
Comuni confinanti,"Andorno Micca, Biella, Campiglia Cervo, Fontainemore (AO), Gaby (AO), Issime (AO), Miagliano, Piedicavallo, Pralungo, Rosazza, Tavigliano, Tollegno, Veglio"
Altre informazioni,Altre informazioni
Cod. postale,13816
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096056
Cod. catastale,H662
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 070 GG[3]"
Nome abitanti,saglianesi
Patrono,San Fabiano e San Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Sagliano Micca,Sagliano Micca
Sagliano Micca – Mappa,Sagliano Micca – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
