Campiglia Cervo comune,Campiglia Cervo comune.1
,
Campiglia Cervo – VedutaVeduta,Campiglia Cervo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Maurizio Piatti (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,45°39′56.96″N 7°59′26.19″E
Altitudine,"775,68 m s.l.m."
Superficie,"28,21 km²"
Abitanti,483[1] (30-11-2025)
Densità,"17,12 ab./km²"
Frazioni,"Balma, Bariola, Bele, Bogna, Driagno, Forgnengo, Gli Ondini, Magnani, Mazzucchetti, Mortigliengo, Oretto, Oriomosso, Piana, Piaro, Quittengo, Riabella, Rialmosso, Roreto, San Giovanni d'Andorno, San Paolo Cervo, Sassaia, Tomati, Valmosca"
Comuni confinanti,"Andorno Micca, Biella, Piedicavallo, Rosazza, Sagliano Micca, Valdilana, Veglio"
Altre informazioni,Altre informazioni
Cod. postale,13812
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,"096086[2] (nuovo), 096011 (vecchio)"
Cod. catastale,"M373[2] (nuovo), B508 (vecchio)"
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 312 GG[4]"
Nome abitanti,campigliesi
Patrono,san Bernardo
Giorno festivo,12 giugno
Cartografia,Cartografia
Campiglia Cervo,Campiglia Cervo
Campiglia Cervo – Mappa,Campiglia Cervo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
