Zubiena comune,Zubiena comune.1
,
Zubiena – VedutaPanorama,Zubiena – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Davide Basso (lista civica Zubiena per tutti) dall'8-6-2009
Territorio,Territorio
Coordinate,45°29′34.58″N 7°59′49.93″E
Altitudine,492 m s.l.m.
Superficie,"12,47 km²"
Abitanti,1 133[1] (30-11-2025)
Densità,"90,86 ab./km²"
Comuni confinanti,"Borriana, Cerrione, Magnano, Mongrando, Sala Biellese, Torrazzo"
Altre informazioni,Altre informazioni
Cod. postale,13888
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096082
Cod. catastale,M196
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 944 GG[3]"
Nome abitanti,zubienesi
Cartografia,Cartografia
Zubiena,Zubiena
Zubiena – Mappa,Zubiena – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
