Borriana comune,Borriana comune.1
,
Borriana – VedutaLa piazza centrale,Borriana – VedutaLa piazza centrale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Francesca Guerriero (lista civica Per una nuova comunità) dal 25-5-2014
Territorio,Territorio
Coordinate,45°30′N 8°02′E
Altitudine,350 m s.l.m.
Superficie,"5,35 km²"
Abitanti,855[1] (30-11-2025)
Densità,"159,81 ab./km²"
Comuni confinanti,"Cerrione, Mongrando, Ponderano, Sandigliano, Zubiena"
Altre informazioni,Altre informazioni
Cod. postale,13872
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096006
Cod. catastale,B058
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,borrianesi
Patrono,san Sulpizio
Cartografia,Cartografia
Borriana,Borriana
Borriana – Mappa,Borriana – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
