Mezzana Mortigliengo comune,Mezzana Mortigliengo comune.1
,
Mezzana Mortigliengo – VedutaVeduta,Mezzana Mortigliengo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Corrado Sola (lista civica Noi di Mezzana) dal 15-5-2023
Territorio,Territorio
Coordinate,45°37′30.56″N 8°11′19.26″E
Altitudine,420 m s.l.m.
Superficie,"4,31 km²"
Abitanti,478[1] (30-11-2025)
Densità,"110,9 ab./km²"
Frazioni,"Bonda, Cereie, Fangazio, Mino, Mondalforno, Montaldo, Ramazio, Sant'Antonio Mina Mazza, Sola, Ubertino"
Comuni confinanti,"Casapinta, Curino, Strona, Valdilana"
Altre informazioni,Altre informazioni
Cod. postale,13831
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096033
Cod. catastale,F167
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 584 GG[3]"
Nome abitanti,mezzanesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Mezzana Mortigliengo,Mezzana Mortigliengo
Mezzana Mortigliengo – Mappa,Mezzana Mortigliengo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
