Casapinta comune,Casapinta comune.1
,
Casapinta – VedutaVeduta,Casapinta – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Mauro Fangazio (lista civica Uniti per Casapinta) dall'8-6-2009
Territorio,Territorio
Coordinate,45°36′54″N 8°11′32″E
Altitudine,432 m s.l.m.
Superficie,"2,86 km²"
Abitanti,364[1] (30-11-2025)
Densità,"127,27 ab./km²"
Frazioni,"Benzio, Bosco, Brovetto, Campalvero, Fantone, Gallo, Guardia, Rondo, Scalabrino"
Comuni confinanti,"Curino, Lessona, Masserano, Mezzana Mortigliengo, Strona"
Altre informazioni,Altre informazioni
Cod. postale,13866
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096014
Cod. catastale,B933
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 866 GG[3]"
Nome abitanti,casapintesi
Cartografia,Cartografia
Casapinta,Casapinta
Casapinta – Mappa,Casapinta – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
