Mongrando comune,Mongrando comune.1
,
Mongrando – VedutaBorgo San Lorenzo,Mongrando – VedutaBorgo San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Michele Teagno (lista civica Insieme per Mongrando) dal 9-6-2024
Territorio,Territorio
Coordinate,45°31′N 8°00′E
Altitudine,355 m s.l.m.
Superficie,"16,5 km²"
Abitanti,3 552[1] (30-11-2025)
Densità,"215,27 ab./km²"
Frazioni,"Aral Grande, Borgo-San Lorenzo, Ceresane, Ceresane-Curanuova, Curanuova, Granero, Graziano-Ruta, La Tana, Le Vignazze, Maghetto, Minazia, San Michele, Toso"
Comuni confinanti,"Borriana, Camburzano, Donato, Graglia, Netro, Occhieppo Inferiore, Ponderano, Sala Biellese, Zubiena"
Altre informazioni,Altre informazioni
Cod. postale,13888
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096035
Cod. catastale,F369
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 748 GG[3]"
Nome abitanti,mongrandesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Mongrando,Mongrando
Mongrando – Mappa,Mongrando – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
