Piatto comune,Piatto comune.1
,
Piatto – Veduta,Piatto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Territorio,Territorio
Coordinate,45°37′13.87″N 8°06′48.38″E
Altitudine,383 m s.l.m.
Superficie,"3,59 km²"
Abitanti,471[1] (30-11-2025)
Densità,"131,2 ab./km²"
Frazioni,"Baraggi, Baraggia, Barazzetta, Bielmonte, Bonina, Borgonuovo, Bosco, Cascinetto, Chiesa, Commenda, Dama, Forno, Franchino, Fretta (sede comunale), Grangia, Lora, Malina, Ottino, Pandale, Paradosso, Pero, Prati, Quarello, Serralunga, Vietto[2]"
Comuni confinanti,"Bioglio, Callabiana, Camandona, Quaregna Cerreto, Ternengo, Valdengo, Valdilana, Vallanzengo, Valle San Nicolao, Veglio"
Altre informazioni,Altre informazioni
Cod. postale,13844
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096043
Cod. catastale,G577
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 802 GG[4]"
Nome abitanti,piattesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Piatto,Piatto
Piatto – Mappa,Piatto – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
