Occhieppo Inferiore comune,Occhieppo Inferiore comune.1
,
Occhieppo Inferiore – VedutaVeduta,Occhieppo Inferiore – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Monica Mosca (lista civica Impegno per Occhieppo) dall'11-6-2024
Territorio,Territorio
Coordinate,45°33′03.6″N 8°01′19.56″E
Altitudine,416 m s.l.m.
Superficie,"4,06 km²"
Abitanti,3 789[1] (30-11-2025)
Densità,"933,25 ab./km²"
Comuni confinanti,"Biella, Camburzano, Mongrando, Occhieppo Superiore, Ponderano"
Altre informazioni,Altre informazioni
Cod. postale,13897
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096040
Cod. catastale,F992
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 576 GG[3]"
Nome abitanti,occhieppesi
Patrono,Antonino di Apamea
Giorno festivo,2 settembre
Cartografia,Cartografia
Occhieppo Inferiore,Occhieppo Inferiore
Occhieppo Inferiore – Mappa,Occhieppo Inferiore – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
