Masserano comune,Masserano comune.1
,
Masserano – VedutaVeduta,Masserano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Andrea Mazzone (lista civica Il comune... in comune) dal 14-5-2023
Territorio,Territorio
Coordinate,45°35′52″N 8°13′04″E
Altitudine,340 m s.l.m.
Superficie,"27,07 km²"
Abitanti,1 889[1] (30-11-2025)
Densità,"69,78 ab./km²"
Frazioni,San Giacomo del Bosco
Comuni confinanti,"Brusnengo, Buronzo (VC), Casapinta, Castelletto Cervo, Curino, Lessona, Rovasenda (VC)"
Altre informazioni,Altre informazioni
Cod. postale,13866
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096032
Cod. catastale,F042
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 748 GG[3]"
Nome abitanti,masseranesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Masserano,Masserano
Masserano – Mappa,Masserano – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
