Torrazzo comune,Torrazzo comune.1
,
Torrazzo – VedutaVeduta,Torrazzo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Luigi Graziano (lista civica Insieme per Torrazzo) dal 12-5-2022
Territorio,Territorio
Coordinate,45°29′54.17″N 7°57′13.13″E
Altitudine,622 m s.l.m.
Superficie,"5,77 km²"
Abitanti,195[1] (30-11-2025)
Densità,"33,8 ab./km²"
Comuni confinanti,"Bollengo (TO), Burolo (TO), Chiaverano (TO), Magnano, Sala Biellese, Zubiena"
Altre informazioni,Altre informazioni
Cod. postale,13884
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096069
Cod. catastale,L239
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 113 GG[3]"
Nome abitanti,torrazzesi
Cartografia,Cartografia
Torrazzo,Torrazzo
Torrazzo – Mappa,Torrazzo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
