Andorno Micca comune,Andorno Micca comune.1
,
Andorno Micca – VedutaVeduta,Andorno Micca – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Davide Crovella (lista civica Progetto per Andorno) dal 25-5-2014
Territorio,Territorio
Coordinate,45°36′36.72″N 8°03′13.68″E
Altitudine,544 m s.l.m.
Superficie,"11,89 km²"
Abitanti,3 026[1] (30-11-2025)
Densità,"254,5 ab./km²"
Frazioni,"Cacciorna (sede comunale), Cerruti, Colma, Golzio, Locato Inferiore, Locato Superiore, Lorazzo Inferiore, Lorazzo Superiore, Ravizza, San Giuseppe di Casto[2]"
Comuni confinanti,"Biella, Callabiana, Camandona, Campiglia Cervo, Fontainemore (AO), Gaby (AO), Miagliano, Pettinengo, Piedicavallo, Rassa (VC), Rosazza, Sagliano Micca, Tavigliano, Tollegno"
Altre informazioni,Altre informazioni
Cod. postale,13811
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096002
Cod. catastale,A280
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 012 GG[4]"
Nome abitanti,andornesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Andorno Micca,Andorno Micca
Andorno Micca – Mappa,Andorno Micca – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
