Verrone comune,Verrone comune.1
,
Verrone – VedutaTorrione del Castello,Verrone – VedutaTorrione del Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Gian Luca Bazzan (lista civica Verrone domani) dal 9-6-2024
Territorio,Territorio
Coordinate,45°30′29.66″N 8°06′54.5″E
Altitudine,277 m s.l.m.
Superficie,"8,59 km²"
Abitanti,1 165[1] (30-11-2025)
Densità,"135,62 ab./km²"
Comuni confinanti,"Benna, Candelo, Cerrione, Gaglianico, Massazza, Salussola, Sandigliano"
Altre informazioni,Altre informazioni
Cod. postale,13871
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096076
Cod. catastale,L785
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 665 GG[3]"
Nome abitanti,Verronesi
Patrono,san Lorenzo
Cartografia,Cartografia
Verrone,Verrone
Verrone – Mappa,Verrone – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
