Sordevolo comune,Sordevolo comune.1
,
Sordevolo – VedutaSordevolo dalla SP500,Sordevolo – VedutaSordevolo dalla SP500
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Riccardo Lunardon (lista civica Sopra l'Elvo) dal 10-6-2024
Territorio,Territorio
Coordinate,45°34′27.84″N 7°58′28.2″E
Altitudine,627 m s.l.m.
Superficie,"13,74 km²"
Abitanti,1 269[1] (30-11-2025)
Densità,"92,36 ab./km²"
Frazioni,"Rubiola, Prera, San Grato, Verdobbio"
Comuni confinanti,"Biella, Graglia, Lillianes (AO), Muzzano, Occhieppo Superiore, Pollone"
Altre informazioni,Altre informazioni
Cod. postale,13817
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096063
Cod. catastale,I847
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 123 GG[3]"
Nome abitanti,sordevolesi
Cartografia,Cartografia
Sordevolo,Sordevolo
Sordevolo – Mappa,Sordevolo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
