Vigliano Biellese comune,Vigliano Biellese comune.1
,
Vigliano Biellese – VedutaIl paese visto da nord,Vigliano Biellese – VedutaIl paese visto da nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Cristina Vazzoler (lista civica) dal 6-2014
Territorio,Territorio
Coordinate,45°33′42″N 8°06′42″E
Altitudine,312 m s.l.m.
Superficie,"8,4 km²"
Abitanti,7 555[1] (30-11-2025)
Densità,"899,4 ab./km²"
Comuni confinanti,"Biella, Candelo, Cossato, Quaregna Cerreto, Ronco Biellese, Valdengo"
Altre informazioni,Altre informazioni
Cod. postale,13856
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096077
Cod. catastale,L880
Targa,VC
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 710 GG[3]"
Nome abitanti,viglianesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Vigliano Biellese,Vigliano Biellese
Vigliano Biellese – Mappa,Vigliano Biellese – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
