Muzzano comune,Muzzano comune.1
,
Muzzano – VedutaIl Municipio,Muzzano – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Roberto Favario (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°33′42.12″N 7°59′24″E
Altitudine,565 m s.l.m.
Superficie,"6,1 km²"
Abitanti,551[1] (30-11-2025)
Densità,"90,33 ab./km²"
Frazioni,Bagneri
Comuni confinanti,"Camburzano, Graglia, Occhieppo Superiore, Sordevolo"
Altre informazioni,Altre informazioni
Cod. postale,13895
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096038
Cod. catastale,F833
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 058 GG[3]"
Nome abitanti,muzzanesi
Patrono,sant'Eusebio
Giorno festivo,Ultima domenica di Agosto
Cartografia,Cartografia
Muzzano,Muzzano
Muzzano – Mappa,Muzzano – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
