Piedicavallo comune,Piedicavallo comune.1
,
Piedicavallo – VedutaVeduta,Piedicavallo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Carlo Rosazza Prin (lista civica Insieme per andare oltre) dal 25-5-2014
Territorio,Territorio
Coordinate,45°42′N 7°57′E
Altitudine,1 050 m s.l.m.
Superficie,"17,75 km²"
Abitanti,167[1] (30-11-2025)
Densità,"9,41 ab./km²"
Frazioni,Montesinaro
Comuni confinanti,"Andorno Micca, Bioglio, Callabiana, Campiglia Cervo, Gaby (AO), Pettinengo, Rosazza, Sagliano Micca, Selve Marcone, Tavigliano, Valle Mosso, Valle San Nicolao"
Altre informazioni,Altre informazioni
Cod. postale,13812
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096044
Cod. catastale,G594
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 669 GG[3]"
Nome abitanti,piedicavallesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Piedicavallo,Piedicavallo
Piedicavallo – Mappa,Piedicavallo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
