Caprile comune,Caprile comune.1
,
Caprile – Veduta,Caprile – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Massimo Paganini (lista civica Per Caprile) dal 14-6-2004
Territorio,Territorio
Coordinate,45°41′20.4″N 8°12′55.8″E
Altitudine,559 m s.l.m.
Superficie,"11,6 km²"
Abitanti,191[1] (30-11-2025)
Densità,"16,47 ab./km²"
Comuni confinanti,"Ailoche, Coggiola, Crevacuore, Guardabosone (VC), Portula, Postua (VC), Pray, Scopello (VC), Valdilana"
Altre informazioni,Altre informazioni
Cod. postale,13864
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096013
Cod. catastale,B708
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 031 GG[3]"
Nome abitanti,caprilesi
Cartografia,Cartografia
Caprile,Caprile
Caprile – Mappa,Caprile – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
