Roppolo comune,Roppolo comune.1
,
Roppolo – VedutaPanorama dal Castello,Roppolo – VedutaPanorama dal Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Daniele Palazzo (lista civica Porte aperte) dal 10-6-2024
Territorio,Territorio
Coordinate,45°25′17″N 8°04′14″E
Altitudine,310 m s.l.m.
Superficie,"8,65 km²"
Abitanti,804[1] (30-11-2025)
Densità,"92,95 ab./km²"
Frazioni,"Babò, Borgata Salomone, Castello, Comuna di Roppolo, Morzano, Peverano, Pioglio, San Vitale"
Comuni confinanti,"Alice Castello (VC), Cavaglià, Cerrione, Dorzano, Salussola, Viverone, Zimone"
Altre informazioni,Altre informazioni
Cod. postale,13883
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,096054
Cod. catastale,H553
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,roppolesi
Patrono,santa Maria Beata Vergine del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Roppolo,Roppolo
Roppolo – Mappa,Roppolo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
