Pray comune,Pray comune.1
,
"Pray – VedutaPanorama e, sullo sfondo, il monte Barone","Pray – VedutaPanorama e, sullo sfondo, il monte Barone"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Lucio Aimone (lista civica Pray da vivere) dal 12-6-2024
Territorio,Territorio
Coordinate,45°41′N 8°13′E
Altitudine,496 m s.l.m.
Superficie,"9,18 km²"
Abitanti,1 998[1] (30-11-2025)
Densità,"217,65 ab./km²"
Frazioni,"Flecchia, Pianceri"
Comuni confinanti,"Caprile, Coggiola, Crevacuore, Curino, Portula, Valdilana"
Altre informazioni,Altre informazioni
Cod. postale,13867
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096050
Cod. catastale,G974
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 850 GG[3]"
Nome abitanti,prayesi
Cartografia,Cartografia
Pray,Pray
Pray – Mappa,Pray – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
