Pollone comune,Pollone comune.1
,
Pollone – VedutaVeduta,Pollone – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Paolo Tha (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°34′50.52″N 8°00′25.2″E
Altitudine,630 m s.l.m.
Superficie,"16,22 km²"
Abitanti,1 938[1] (30-11-2025)
Densità,"119,48 ab./km²"
Frazioni,"Borrino, Bricco, Burcina, Cangio, Cantone Trotti, Chiesa, Pizzo, Villa (sede comunale)[2]"
Comuni confinanti,"Biella, Fontainemore (AO), Lillianes (AO), Occhieppo Superiore, Sordevolo"
Altre informazioni,Altre informazioni
Cod. postale,13814
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096046
Cod. catastale,G798
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 123 GG[4]"
Nome abitanti,pollonesi
Cartografia,Cartografia
Pollone,Pollone
Pollone – Mappa,Pollone – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
