Curino comune,Curino comune.1
,
Curino – Veduta,Curino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Adriano Buzio (lista civica Insieme per Curino) dall'8-6-2009
Territorio,Territorio
Coordinate,45°35′52″N 8°13′04″E
Altitudine,390 m s.l.m.
Superficie,"21,65 km²"
Abitanti,468[1] (30-11-2025)
Densità,"21,62 ab./km²"
Comuni confinanti,"Brusnengo, Casapinta, Crevacuore, Masserano, Mezzana Mortigliengo, Pray, Roasio (VC), Sostegno, Valdilana, Villa del Bosco"
Altre informazioni,Altre informazioni
Cod. postale,13865
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096023
Cod. catastale,D219
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 811 GG[3]"
Nome abitanti,curinesi
Patrono,san Quirino
Cartografia,Cartografia
Curino,Curino
Curino – Mappa,Curino – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
