Netro comune,Netro comune.1
,
Netro – VedutaLa Parrocchiale,Netro – VedutaLa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Tiziana Pasquale in Governato Greggio (lista civica Per Netro) dall'8-6-2009
Territorio,Territorio
Coordinate,45°32′15″N 7°56′50″E
Altitudine,606 m s.l.m.
Superficie,"12,57 km²"
Abitanti,895[1] (30-11-2025)
Densità,"71,2 ab./km²"
Frazioni,"Castellazzo, Colla di Netro, Bossola, Cereia"
Comuni confinanti,"Donato, Graglia, Mongrando"
Altre informazioni,Altre informazioni
Cod. postale,13896
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096039
Cod. catastale,F878
Targa,BI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 092 GG[3]"
Nome abitanti,netresi
Patrono,santa Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Netro,Netro
Netro – Mappa,Netro – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
