Brusnengo comune,Brusnengo comune.1
,
Brusnengo – Veduta,Brusnengo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Biella
Amministrazione,Amministrazione
Sindaco,Fabrizio Bertolino (lista civica Insieme per Brusnengo) dal 25-5-2014 (2º mandato dal 09-06-2024)
Territorio,Territorio
Coordinate,45°35′52″N 8°13′04″E
Altitudine,295 m s.l.m.
Superficie,"10,45 km²"
Abitanti,1 847[1] (30-11-2025)
Densità,"176,75 ab./km²"
Frazioni,"Forte, Caraceto"
Comuni confinanti,"Curino, Masserano, Roasio (VC), Rovasenda (VC)"
Altre informazioni,Altre informazioni
Cod. postale,13862
Prefisso,015
Fuso orario,UTC+1
Codice ISTAT,096007
Cod. catastale,B229
Targa,BI
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 688 GG[3]"
Nome abitanti,brusnenghesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Brusnengo,Brusnengo
Brusnengo – Mappa,Brusnengo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
