Adrara San Rocco comune,Adrara San Rocco comune.1
,
Adrara San Rocco – VedutaPanorama,Adrara San Rocco – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Tiziano Piccioli Cappelli (lista civica Indipendenti) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°42′51″N 9°57′30″E
Altitudine,431 m s.l.m.
Superficie,"9,23 km²"
Abitanti,811[1] (30-11-2025)
Densità,"87,87 ab./km²"
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,"Adrara San Martino, Fonteno, Monasterolo del Castello, Vigolo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016002
Cod. catastale,A058
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 682 GG[4]"
Nome abitanti,sanrocchini - adraresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Adrara San Rocco,Adrara San Rocco
Adrara San Rocco – MappaPosizione del comune di Adrara San Rocco nella provincia di Bergamo,Adrara San Rocco – MappaPosizione del comune di Adrara San Rocco nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
