Albino comune,Albino comune.1
,
Albino – VedutaPanorama di Albino e della Valle Seriana,Albino – VedutaPanorama di Albino e della Valle Seriana
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Daniele Esposito (LSP + centro-destra + liste civiche di centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°45′38″N 9°47′49″E
Altitudine,342 m s.l.m.
Superficie,"31,81 km²"
Abitanti,17 581[1] (30-11-2025)
Densità,"552,69 ab./km²"
Frazioni,"Abbazia, Bondo Petello, Casale, Comenduno, Desenzano al Serio, Dossello, Fiobbio, Vall'Alta[2]"
Comuni confinanti,"Aviatico, Borgo di Terzo, Casazza, Cenate Sopra, Cene, Gaverina Terme, Gazzaniga, Luzzana, Nembro, Pradalunga, Selvino, Trescore Balneario, Vigano San Martino"
Altre informazioni,Altre informazioni
Cod. postale,24021
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016004
Cod. catastale,A163
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 543 GG[4]"
Nome abitanti,albinesi
Patrono,san Giuliano Martire[5]
Giorno festivo,9 gennaio
Cartografia,Cartografia
Albino,Albino
Albino – MappaPosizione del comune di Albino nella provincia di Bergamo,Albino – MappaPosizione del comune di Albino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
