Zandobbio comune,Zandobbio comune.1
,
Zandobbio – VedutaPanorama,Zandobbio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mosè Parigi (Cambiare Insieme) dall'8-6-2024
Territorio,Territorio
Coordinate,45°41′18″N 9°51′09″E
Altitudine,278 m s.l.m.
Superficie,"6,43 km²"
Abitanti,2 738[1] (30-11-2025)
Densità,"425,82 ab./km²"
Frazioni,Selva
Comuni confinanti,"Credaro, Entratico, Foresto Sparso, Trescore Balneario, Villongo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016244
Cod. catastale,M144
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 464 GG[3]"
Nome abitanti,zandobbiesi
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Zandobbio,Zandobbio
Zandobbio – MappaPosizione del comune di Zandobbio nella provincia di Bergamo,Zandobbio – MappaPosizione del comune di Zandobbio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
