Grassobbio comune,Grassobbio comune.1
,
Grassobbio – VedutaPalazzo Belli,Grassobbio – VedutaPalazzo Belli
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Manuel Bentoglio (Lega Nord) dal 27-5-2019
Territorio,Territorio
Coordinate,45°39′24″N 9°43′26″E
Altitudine,225 m s.l.m.
Superficie,"8,74 km²"
Abitanti,6 550[1] (30-11-2025)
Densità,"749,43 ab./km²"
Frazioni,Capannelle
Comuni confinanti,"Cavernago, Orio al Serio, Seriate, Zanica"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016117
Cod. catastale,E148
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 516 GG[3]"
Nome abitanti,grassobbiesi
Patrono,sant'Alessandro e santa Grata di Bergamo
Giorno festivo,26 agosto
Cartografia,Cartografia
Grassobbio,Grassobbio
Grassobbio – MappaPosizione del comune di Grassobbio nella provincia di Bergamo,Grassobbio – MappaPosizione del comune di Grassobbio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
