Terno d'Isola comune,Terno d'Isola comune.1
,
Terno d'Isola – VedutaLa parrocchiale di San Vittore,Terno d'Isola – VedutaLa parrocchiale di San Vittore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gianluca Sala (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°41′N 9°32′E
Altitudine,229 m s.l.m.
Superficie,"4,13 km²"
Abitanti,7 974[1] (30-11-2025)
Densità,"1 930,75 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bonate Sopra, Calusco d'Adda, Carvico, Chignolo d'Isola, Mapello, Medolago, Sotto il Monte Giovanni XXIII"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016213
Cod. catastale,L118
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 505 GG[4]"
Nome abitanti,ternesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Terno d'Isola,Terno d'Isola
Terno d'Isola – MappaPosizione del comune di Terno d'Isola nella provincia di Bergamo,Terno d'Isola – MappaPosizione del comune di Terno d'Isola nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
