Capizzone comune,Capizzone comune.1
,
Capizzone – VedutaVeduta con la parrocchiale di San Lorenzo,Capizzone – VedutaVeduta con la parrocchiale di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Michela Zuin (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°47′08″N 9°34′00″E
Altitudine,654 m s.l.m.
Superficie,"4,68 km²"
Abitanti,1 193[1] (31-5-2021)
Densità,"254,91 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bedulita, Berbenno, Roncola, Strozza, Ubiale Clanezzo, Val Brembilla"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016050
Cod. catastale,B661
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 714 GG[4]"
Nome abitanti,capizzonesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Capizzone,Capizzone
Capizzone – MappaPosizione del comune di Capizzone nella provincia di Bergamo,Capizzone – MappaPosizione del comune di Capizzone nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
