Rogno comune,Rogno comune.1
,
Rogno – VedutaPanorama,Rogno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Valerio Franzoni (lista civica Orizzonte Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,45°51′27″N 10°07′59″E
Altitudine,215 m s.l.m.
Superficie,"15,81 km²"
Abitanti,3 849[1] (30-11-2025)
Densità,"243,45 ab./km²"
Frazioni,"Bessimo Inferiore, Castelfranco, Monti, San Vigilio[2]"
Comuni confinanti,"Angolo Terme (BS), Artogne (BS), Castione della Presolana, Costa Volpino, Darfo Boario Terme (BS), Pian Camuno (BS), Songavazzo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016182
Cod. catastale,H492
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 375 GG[4]"
Nome abitanti,rognesi
Patrono,santo Stefano Protomartire
Giorno festivo,26 dicembre
Cartografia,Cartografia
Rogno,Rogno
Rogno – MappaPosizione del comune di Rogno nella provincia di Bergamo,Rogno – MappaPosizione del comune di Rogno nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
