Ranzanico comune,Ranzanico comune.1
,
Ranzanico – VedutaPanorama,Ranzanico – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Freri Renato (lista civica Insieme per Ranzanico) dal 26-5-2014
Territorio,Territorio
Coordinate,45°47′N 9°56′E
Altitudine,519 m s.l.m.
Superficie,"7,21 km²"
Abitanti,1 229[1] (30-11-2025)
Densità,"170,46 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bianzano, Endine Gaiano, Gandino, Monasterolo del Castello, Peia, Spinone al Lago"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016179
Cod. catastale,H177
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 807 GG[4]"
Nome abitanti,ranzanicesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Ranzanico,Ranzanico
Ranzanico – MappaPosizione del comune di Ranzanico nella provincia di Bergamo,Ranzanico – MappaPosizione del comune di Ranzanico nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
