Fuipiano Valle Imagna comune,Fuipiano Valle Imagna comune.1
,
Fuipiano Valle Imagna – VedutaVeduta con la parrocchiale di San Giovanni Battista,Fuipiano Valle Imagna – VedutaVeduta con la parrocchiale di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Luigi Elena (lista civica Uniti possiamo) dal 21-9-2020
Territorio,Territorio
Coordinate,45°51′N 9°32′E
Altitudine,1 055 m s.l.m.
Superficie,"4,28 km²"
Abitanti,202[1] (30-11-2025)
Densità,"47,2 ab./km²"
Comuni confinanti,"Brumano, Corna Imagna, Locatello, Taleggio, Val Brembilla, Vedeseta"
Altre informazioni,Altre informazioni
Cod. postale,24030
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016106
Cod. catastale,D817
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 520 GG[3]"
Nome abitanti,fuipianesi
Patrono,san Giovanni Battista
Giorno festivo,Prima domenica di settembre (Festa della Madonna)
Cartografia,Cartografia
Fuipiano Valle Imagna,Fuipiano Valle Imagna
Fuipiano Valle Imagna – MappaPosizione del comune di Fuipiano Valle Imagna nella provincia di Bergamo,Fuipiano Valle Imagna – MappaPosizione del comune di Fuipiano Valle Imagna nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
