Viadanica comune,Viadanica comune.1
,
Viadanica – VedutaLa parrocchiale di San Giovanni Battista,Viadanica – VedutaLa parrocchiale di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Angelo Vegini (lista civica Per Viadanica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°41′N 9°58′E
Altitudine,336 m s.l.m.
Superficie,"5,45 km²"
Abitanti,1 121[1] (30-11-2025)
Densità,"205,69 ab./km²"
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,"Adrara San Martino, Predore, Sarnico, Vigolo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016235
Cod. catastale,L827
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 547 GG[4]"
Nome abitanti,viadanichesi
Patrono,san Giovanni Battista e sant'Alessandro
Giorno festivo,24 giugno e 26 agosto
Cartografia,Cartografia
Viadanica,Viadanica
Viadanica – MappaPosizione del comune di Viadanica nella provincia di Bergamo,Viadanica – MappaPosizione del comune di Viadanica nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
