Filago comune,Filago comune.1
,
Filago – VedutaLa parrocchiale dell’Assunta e San Rocco,Filago – VedutaLa parrocchiale dell’Assunta e San Rocco
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Daniele Medici (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,45°38′N 9°33′E
Altitudine,190 m s.l.m.
Superficie,"5,42 km²"
Abitanti,3 129[1] (30-11-2025)
Densità,"577,31 ab./km²"
Frazioni,Marne[2]
Comuni confinanti,"Bonate Sotto, Bottanuco, Brembate, Capriate San Gervasio, Dalmine, Madone, Osio Sopra, Osio Sotto"
Altre informazioni,Altre informazioni
Cod. postale,24040
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016098
Cod. catastale,D588
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 428 GG[4]"
Nome abitanti,filaghesi
Patrono,santa Maria Assunta e san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Filago,Filago
Filago – MappaPosizione del comune di Filago nella provincia di Bergamo,Filago – MappaPosizione del comune di Filago nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
