Solto Collina comune,Solto Collina comune.1
,
Solto Collina – VedutaPanorama,Solto Collina – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Maurizio Esti (lista civica Rinnovamento per Solto)
Territorio,Territorio
Coordinate,45°47′N 10°01′E
Altitudine,449 m s.l.m.
Superficie,"11,76 km²"
Abitanti,1 833[1] (30-11-2025)
Densità,"155,87 ab./km²"
Frazioni,Esmate[2]
Comuni confinanti,"Castro, Endine Gaiano, Fonteno, Pianico, Riva di Solto, Sovere"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016200
Cod. catastale,I812
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 698 GG[4]"
Nome abitanti,soltesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Solto Collina,Solto Collina
Solto Collina – MappaPosizione del comune di Solto Collina nella provincia di Bergamo,Solto Collina – MappaPosizione del comune di Solto Collina nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
