Scanzorosciate comune,Scanzorosciate comune.1
,
Scanzorosciate – VedutaPanorama di Rosciate,Scanzorosciate – VedutaPanorama di Rosciate
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Scanzo
Sindaco,Paolo Colonna (lista civica - Proposta per Scanzorosciate Impegno Comune) dal 10-06-2024
Territorio,Territorio
Coordinate del capoluogo,45°42′41″N 9°44′09″E
Altitudine,297 m s.l.m.
Superficie,"10,69 km²"
Abitanti,10 149[1] (30-11-2025)
Densità,"949,39 ab./km²"
Frazioni,"Scanzo (sede comunale), Gavarno Vescovado, Negrone, Rosciate, Tribulina[2]"
Comuni confinanti,"Cenate Sopra, Cenate Sotto, Gorle, Nembro, Pedrengo, Pradalunga, Ranica, San Paolo d'Argon, Torre de' Roveri, Villa di Serio"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016194
Cod. catastale,I506
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 466 GG[4]"
Nome abitanti,scanzorosciatesi
Patrono,San Pietro per Scanzo; Santa Maria Assunta per Rosciate; San Pantaleone e San Nicola per Negrone; San Giovanni Battista per Tribulina; Santissima Trinità per Gavarno Vescovado
Giorno festivo,16 agosto (intero comune)
Cartografia,Cartografia
Scanzo,Scanzo
Scanzorosciate – MappaPosizione del comune di Scanzorosciate nella provincia di Bergamo,Scanzorosciate – MappaPosizione del comune di Scanzorosciate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
