Calcio comune,Calcio comune.1
,
Calcio – VedutaVeduta del centro,Calcio – VedutaVeduta del centro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,"Marco Giacomo Gazzaniga (lista ""Vivi Calcio"")"
Territorio,Territorio
Coordinate,45°30′30″N 9°51′03″E
Altitudine,123 m s.l.m.
Superficie,"15,67 km²"
Abitanti,5 567[1] (30-11-2025)
Densità,"355,26 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Antegnate, Cividate al Piano, Cortenuova, Covo, Fontanella, Pumenengo, Rudiano (BS), Urago d'Oglio (BS)"
Altre informazioni,Altre informazioni
Cod. postale,24054
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016044
Cod. catastale,B395
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,calcensi
Patrono,San Gottardo
Giorno festivo,4 maggio
Cartografia,Cartografia
Calcio,Calcio
Calcio – MappaPosizione del comune di Calcio nella provincia di Bergamo,Calcio – MappaPosizione del comune di Calcio nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
