Osio Sotto comune,Osio Sotto comune.1
,
Osio Sotto – VedutaPiazza Papa Giovanni XXIII,Osio Sotto – VedutaPiazza Papa Giovanni XXIII
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Corrado Quarti (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°37′N 9°36′E
Altitudine,182 m s.l.m.
Superficie,"7,59[1] km²"
Abitanti,12 922[2] (30-11-2025)
Densità,"1 702,5 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Boltiere, Brembate, Filago, Levate, Osio Sopra, Verdellino"
Altre informazioni,Altre informazioni
Cod. postale,24046
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016153
Cod. catastale,G160
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 428 GG[5]"
Nome abitanti,osiensi
Patrono,"san Zenone, san Donato"
Giorno festivo,7 agosto
Cartografia,Cartografia
Osio Sotto,Osio Sotto
Osio Sotto – MappaPosizione del comune di Osio Sotto nella provincia di Bergamo,Osio Sotto – MappaPosizione del comune di Osio Sotto nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
