Songavazzo comune,Songavazzo comune.1
,
Songavazzo – VedutaVeduta,Songavazzo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giuliano Covelli (lista civica Ideale comune Songavazzo) dall'8-6-2009
Territorio,Territorio
Coordinate,45°52′48.54″N 9°59′23.25″E
Altitudine,640 m s.l.m.
Superficie,"12,94 km²"
Abitanti,730[1] (30-11-2025)
Densità,"56,41 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bossico, Castione della Presolana, Cerete, Costa Volpino, Fino del Monte, Onore, Rogno, Rovetta"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016201
Cod. catastale,I830
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 989 GG[4]"
Nome abitanti,songavazzesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Songavazzo,Songavazzo
Songavazzo – MappaPosizione del comune di Songavazzo nella provincia di Bergamo,Songavazzo – MappaPosizione del comune di Songavazzo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
