Branzi comune,Branzi comune.1
,
Branzi – VedutaPanorama,Branzi – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gabriele Mantovani(2º mandato) (lista civica Nuova sorgente) dall'8-6-2009
Territorio,Territorio
Coordinate,46°00′19.86″N 9°45′36″E
Altitudine,874 m s.l.m.
Superficie,"26,19 km²"
Abitanti,610[1] (30-11-2025)
Densità,"23,29 ab./km²"
Frazioni,"Prati, Belfiore, Cà Bianca, Caprini, Cornello, Ripe, Montanina, Monaci, Scarsi, Follo, San Rocco, Rivioni, Cagnoli, Gardata[2]"
Comuni confinanti,"Ardesio, Carona, Isola di Fondra, Piazzatorre, Roncobello, Valgoglio, Valleve"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016036
Cod. catastale,B123
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 311 GG[4]"
Nome abitanti,branzesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Branzi,Branzi
Branzi – MappaPosizione del comune di Branzi nella provincia di Bergamo,Branzi – MappaPosizione del comune di Branzi nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
