Rota d'Imagna comune,Rota d'Imagna comune.1
,
Rota d'Imagna – VedutaVeduta,Rota d'Imagna – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giovanni Locatelli (lista civica Con Rota in comune) dal 26-5-2014
Territorio,Territorio
Coordinate,45°50′N 9°31′E
Altitudine,690 m s.l.m.
Superficie,"6,03 km²"
Abitanti,939[1] (30-11-2025)
Densità,"155,72 ab./km²"
Frazioni,"Rota Dentro, Rota Fuori, Chignolo"
Comuni confinanti,"Brumano, Corna Imagna, Locatello, Sant'Omobono Terme"
Altre informazioni,Altre informazioni
Cod. postale,24037
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016186
Cod. catastale,H584
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 049 GG[3]"
Nome abitanti,rotaesi
Patrono,san Siro
Giorno festivo,9 dicembre
Cartografia,Cartografia
Rota d'Imagna,Rota d'Imagna
Rota d'Imagna – MappaPosizione del comune di Rota d'Imagna nella provincia di Bergamo,Rota d'Imagna – MappaPosizione del comune di Rota d'Imagna nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
