Parre comune,Parre comune.1
,
Parre – VedutaPanorama,Parre – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Francesco Ferrari (lista civica) dal 14-6-2004 al 7-6-2009 2º mandato dal 8-6-2009 al 25-5-2014 3º mandato dal 10-6-2024
Territorio,Territorio
Coordinate,45°52′28.51″N 9°53′27.08″E
Altitudine,650 m s.l.m.
Superficie,"22,28 km²"
Abitanti,2 652[1] (30-11-2025)
Densità,"119,03 ab./km²"
Frazioni,"Martorasco, Ponte Selva, Sant'Alberto[2]"
Comuni confinanti,"Ardesio, Clusone, Piario, Ponte Nossa, Premolo, Villa d'Ogna"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016158
Cod. catastale,G346
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 989 GG[4]"
Nome abitanti,parresi
Patrono,san Pietro e san Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Parre,Parre
Parre – MappaPosizione del comune di Parre nella provincia di Bergamo,Parre – MappaPosizione del comune di Parre nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
