Costa Volpino comune,Costa Volpino comune.1
,
Costa Volpino – VedutaPanorama,Costa Volpino – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Federico Baiguini (Costa Volpino Cambia) dal 04-10-2021
Territorio,Territorio
Coordinate,45°49′50″N 10°05′57″E
Altitudine,248 m s.l.m.
Superficie,"18,67 km²"
Abitanti,8 800[1] (30-11-2025)
Densità,"471,34 ab./km²"
Frazioni,"Branico, Ceratello, Corti (sede comunale), Flaccanico, Piano, Qualino, Volpino[2]"
Comuni confinanti,"Bossico, Lovere, Pian Camuno (BS), Pisogne (BS), Rogno, Songavazzo"
Altre informazioni,Altre informazioni
Cod. postale,24062
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016086
Cod. catastale,D117
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 403 GG[4]"
Nome abitanti,costavolpinesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Costa Volpino,Costa Volpino
Costa Volpino – MappaPosizione del comune di Costa Volpino nella provincia di Bergamo,Costa Volpino – MappaPosizione del comune di Costa Volpino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
