Monasterolo del Castello comune,Monasterolo del Castello comune.1
,
Monasterolo del Castello – VedutaPanorama,Monasterolo del Castello – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gabriele Zappella (lista civica Insieme per Monasterolo) dal 27-5-2019
Territorio,Territorio
Coordinate,45°46′N 9°56′E
Altitudine,365 m s.l.m.
Superficie,"8,75 km²"
Abitanti,1 156[1] (30-11-2025)
Densità,"132,11 ab./km²"
Frazioni,"Brione, Castello, Legner, Moj[2]"
Comuni confinanti,"Adrara San Martino, Adrara San Rocco, Casazza, Endine Gaiano, Fonteno, Grone, Ranzanico, Spinone al Lago"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016137
Cod. catastale,F328
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 588 GG[4]"
Nome abitanti,monasterolesi
Patrono,san Cassiano
Giorno festivo,12 agosto
Cartografia,Cartografia
Monasterolo del Castello,Monasterolo del Castello
Monasterolo del Castello – MappaPosizione del comune di Monasterolo del Castello nella provincia di Bergamo,Monasterolo del Castello – MappaPosizione del comune di Monasterolo del Castello nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
