Bariano comune,Bariano comune.1
,
Bariano – VedutaVeduta dall'alto,Bariano – VedutaVeduta dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Andrea Rota[1] (lista civica Vivi Bariano) dal 26-5-2019
Territorio,Territorio
Coordinate,45°30′45.29″N 9°42′13.18″E
Altitudine,114 m s.l.m.
Superficie,"7,07 km²"
Abitanti,4 332[2] (30-11-2025)
Densità,"612,73 ab./km²"
Frazioni,nessuna[3]
Comuni confinanti,"Caravaggio, Fara Olivana con Sola, Fornovo San Giovanni, Morengo, Pagazzano, Romano di Lombardia"
Altre informazioni,Altre informazioni
Cod. postale,24050
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016020
Cod. catastale,A664
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 383 GG[5]"
Nome abitanti,barianesi
Patrono,santi Gervasio e Protasio
Giorno festivo,19 giugno[6]
Cartografia,Cartografia
Bariano,Bariano
Bariano – MappaPosizione del comune di Bariano nella provincia di Bergamo,Bariano – MappaPosizione del comune di Bariano nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
