Credaro comune,Credaro comune.1
,
Credaro – VedutaPanorama,Credaro – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Adriana Bellini (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°39′42.1″N 9°54′53.37″E
Altitudine,225 m s.l.m.
Superficie,"3,41 km²"
Abitanti,3 578[1] (30-11-2025)
Densità,"1 049,27 ab./km²"
Comuni confinanti,"Capriolo (BS), Castelli Calepio, Gandosso, Paratico (BS), Trescore Balneario, Villongo, Zandobbio"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016088
Cod. catastale,D139
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,credaresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Credaro,Credaro
Credaro – MappaPosizione del comune di Credaro nella provincia di Bergamo,Credaro – MappaPosizione del comune di Credaro nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
