Adrara San Martino comune,Adrara San Martino comune.1
,
Adrara San Martino – VedutaLa parrocchiale di San Martino,Adrara San Martino – VedutaLa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sergio Capoferri (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°42′N 9°57′E
Altitudine,355 m s.l.m.
Superficie,"12,61 km²"
Abitanti,2 208[1] (30-11-2025)
Densità,"175,1 ab./km²"
Frazioni,Nessuna[2]
Comuni confinanti,"Adrara San Rocco, Berzo San Fermo, Foresto Sparso, Grone, Monasterolo del Castello, Sarnico, Viadanica, Vigolo, Villongo"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016001
Cod. catastale,A057
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 574 GG[4]"
Nome abitanti,adraresi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Adrara San Martino,Adrara San Martino
Adrara San Martino – MappaPosizione del comune di Adrara San Martino nella provincia di Bergamo,Adrara San Martino – MappaPosizione del comune di Adrara San Martino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
