Borgo di Terzo comune,Borgo di Terzo comune.1
,
Borgo di Terzo – VedutaPanorama,Borgo di Terzo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Stefano Vavassori (lista civica) dal 1-6-2015
Territorio,Territorio
Coordinate,45°43′15″N 9°53′38″E
Altitudine,300 m s.l.m.
Superficie,"1,83 km²"
Abitanti,1 216[1] (30-11-2025)
Densità,"664,48 ab./km²"
Frazioni,"Borgo (sede comunale), Terzo[2]"
Comuni confinanti,"Albino, Berzo San Fermo, Entratico, Luzzana, Vigano San Martino"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016032
Cod. catastale,B010
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 496 GG[4]"
Nome abitanti,borghesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Borgo di Terzo,Borgo di Terzo
Borgo di Terzo – MappaPosizione del comune di Borgo di Terzo nella provincia di Bergamo,Borgo di Terzo – MappaPosizione del comune di Borgo di Terzo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
