Serina comune,Serina comune.1
,
Serina – VedutaPanorama dal Monte Castello,Serina – VedutaPanorama dal Monte Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Michele Villarboito (lista civica Serina con noi) dal 15-5-2023
Territorio,Territorio
Coordinate,45°52′N 9°44′E
Altitudine,820 m s.l.m.
Superficie,"27,34 km²"
Abitanti,2 106[1] (30-11-2025)
Densità,"77,03 ab./km²"
Frazioni,"Bagnella, Corone, Lepreno, Valpiana[2]"
Comuni confinanti,"Algua, Cornalba, Costa Serina, Dossena, Oltre il Colle, Roncobello, San Pellegrino Terme"
Altre informazioni,Altre informazioni
Cod. postale,24017
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016199
Cod. catastale,I629
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 387 GG[4]"
Nome abitanti,serinesi
Patrono,santa Maria Annunciata
Giorno festivo,25 marzo
Cartografia,Cartografia
Serina,Serina
Serina – MappaPosizione del comune di Serina nella provincia di Bergamo,Serina – MappaPosizione del comune di Serina nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
