Costa di Mezzate comune,Costa di Mezzate comune.1
,
Costa di Mezzate – VedutaVeduta,Costa di Mezzate – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,"Andrea Trapletti (lista civica La gente, il paese) dal 9-6-2024"
Territorio,Territorio
Coordinate,45°40′N 9°48′E
Altitudine,218 m s.l.m.
Superficie,"5,22 km²"
Abitanti,3 411[1] (30-11-2025)
Densità,"653,45 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Albano Sant'Alessandro, Bagnatica, Bolgare, Calcinate, Gorlago, Montello"
Altre informazioni,Altre informazioni
Cod. postale,24060
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016084
Cod. catastale,D110
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 489 GG[4]"
Nome abitanti,costesi o costesi di Mezzate
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Costa di Mezzate,Costa di Mezzate
Costa di Mezzate – MappaPosizione del comune di Costa di Mezzate nella provincia di Bergamo,Costa di Mezzate – MappaPosizione del comune di Costa di Mezzate nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
