Cerete comune,Cerete comune.1
,
Cerete – VedutaPanorama di Cerete Alto,Cerete – VedutaPanorama di Cerete Alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Capoluogo,Cerete Alto
Sindaco,Cinzia Locatelli (lista civica Cerete Futura) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate del capoluogo,45°52′02.29″N 9°59′36.57″E
Altitudine,612 m s.l.m.
Superficie,"14,07 km²"
Abitanti,1 647[1] (30-11-2025)
Densità,"117,06 ab./km²"
Frazioni,"Cerete Alto (sede comunale), Cerete Basso, Novezio[2]"
Comuni confinanti,"Bossico, Gandino, Rovetta, Songavazzo, Sovere"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016071
Cod. catastale,C506
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 949 GG[4]"
Nome abitanti,ceretesi[5]
Patrono,"santi Filippo e Giacomo (Cerete Alto), san Vincenzo di Saragozza (Cerete Basso)"
Giorno festivo,"3 maggio (Cerete Alto), 22 gennaio (Cerete Basso)"
Cartografia,Cartografia
Cerete Alto,Cerete Alto
Cerete – MappaPosizione del comune di Cerete nella provincia di Bergamo,Cerete – MappaPosizione del comune di Cerete nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
