Colere comune,Colere comune.1
,
Colere – VedutaPanorama,Colere – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gabriele Bettineschi (lista civica Avanti per Colere) dal 22-9-2020
Territorio,Territorio
Coordinate,45°58′24″N 10°04′50″E
Altitudine,1 013 m s.l.m.
Superficie,"18,63 km²"
Abitanti,1 075[1] (30-11-2025)
Densità,"57,7 ab./km²"
Frazioni,"Albarete, Cantoniera della Presolana, Carbonera, Castello, Dezzo di Scalve, Grana, Magnone, Valle Richetti, Valle Sponda, Valzella[2]"
Comuni confinanti,"Angolo Terme (BS), Azzone, Castione della Presolana, Rovetta, Vilminore di Scalve"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016078
Cod. catastale,C835
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 508 GG[4]"
Nome abitanti,Coleresi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Colere,Colere
Colere – MappaPosizione del comune di Colere nella provincia di Bergamo,Colere – MappaPosizione del comune di Colere nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
