Piazzolo comune,Piazzolo comune.1
,
Piazzolo – VedutaPanorama,Piazzolo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Laura Arizzi (lista civica Piazzolo nel cuore) dal 15-5-2023
Territorio,Territorio
Coordinate,45°58′47.24″N 9°40′13.97″E
Altitudine,702 m s.l.m.
Superficie,"4,15 km²"
Abitanti,92[1] (30-11-2025)
Densità,"22,17 ab./km²"
Comuni confinanti,"Mezzoldo, Moio de' Calvi, Olmo al Brembo, Piazza Brembana, Piazzatorre, Valnegra"
Altre informazioni,Altre informazioni
Cod. postale,24010
Prefisso,0345
Fuso orario,UTC+1
Codice ISTAT,016166
Cod. catastale,G588
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 066 GG[3]"
Nome abitanti,Piazzolesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Piazzolo,Piazzolo
Piazzolo – MappaPosizione del comune di Piazzolo nella provincia di Bergamo,Piazzolo – MappaPosizione del comune di Piazzolo nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
