Pradalunga comune,Pradalunga comune.1
,
Pradalunga – VedutaPanorama,Pradalunga – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Natalina Valoti (lista civica Un paese in comune-Comunità democratica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°44′48″N 9°46′59″E
Altitudine,327 m s.l.m.
Superficie,"8,2 km²"
Abitanti,4 499[1] (30-11-2025)
Densità,"548,66 ab./km²"
Frazioni,Cornale[2]
Comuni confinanti,"Albino, Cenate Sopra, Nembro, Scanzorosciate"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016173
Cod. catastale,G968
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 516 GG[4]"
Nome abitanti,pradalunghesi
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Pradalunga,Pradalunga
Pradalunga – MappaPosizione del comune di Pradalunga nella provincia di Bergamo,Pradalunga – MappaPosizione del comune di Pradalunga nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
