Azzone comune,Azzone comune.1
,
Azzone – VedutaPanorama,Azzone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mirella Cotti Cometti (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°58′43″N 10°06′43″E
Altitudine,973 m s.l.m.
Superficie,"17,29 km²"
Abitanti,352[1] (30-11-2025)
Densità,"20,36 ab./km²"
Frazioni,"Dezzo, Dosso[2]"
Comuni confinanti,"Angolo Terme (BS), Borno (BS), Colere, Schilpario, Vilminore di Scalve"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016017
Cod. catastale,A533
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 451 GG[4]"
Nome abitanti,azzonesi
Patrono,santi Filippo e Giacomo Apostoli
Giorno festivo,1º maggio
Cartografia,Cartografia
Azzone,Azzone
Azzone – MappaPosizione del comune di Azzone nella provincia di Bergamo,Azzone – MappaPosizione del comune di Azzone nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
