Fontanella comune,Fontanella comune.1
,
"Fontanella – VedutaScorcio su Via Cavour. Sullo sfondo, il campanile e l'abside della parrocchiale.","Fontanella – VedutaScorcio su Via Cavour. Sullo sfondo, il campanile e l'abside della parrocchiale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Mauro Brambilla (lista civica con supporto Lega e Forza Italia) dal 26-5-2019
Territorio,Territorio
Coordinate,45°28′N 9°48′E
Altitudine,105 m s.l.m.
Superficie,"17,9 km²"
Abitanti,4 921[1] (30-11-2025)
Densità,"274,92 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Antegnate, Barbata, Calcio, Casaletto di Sopra (CR), Pumenengo, Soncino (CR), Torre Pallavicina"
Altre informazioni,Altre informazioni
Cod. postale,24056
Prefisso,0363
Fuso orario,UTC+1
Codice ISTAT,016101
Cod. catastale,D672
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 383 GG[4]"
Nome abitanti,fontanellesi
Patrono,san Cassiano
Giorno festivo,13 agosto
Cartografia,Cartografia
Fontanella,Fontanella
Fontanella – MappaPosizione del comune di Fontanella nella provincia di Bergamo,Fontanella – MappaPosizione del comune di Fontanella nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
