Gorno comune,Gorno comune.1
,
Gorno – VedutaPanorama,Gorno – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Giampiero Calegari (lista civica Rinnovamento per Gorno) dal 5-6-2016
Territorio,Territorio
Coordinate,45°52′N 9°50′E
Altitudine,710 m s.l.m.
Superficie,10 km²
Abitanti,1 433[1] (30-11-2025)
Densità,"143,3 ab./km²"
Frazioni,nessuna; vedi elenco contrade
Comuni confinanti,"Casnigo, Colzate, Oneta, Ponte Nossa, Premolo"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016116
Cod. catastale,E106
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 078 GG[3]"
Nome abitanti,gornesi
Patrono,san Martino Vescovo
Giorno festivo,11 novembre
Cartografia,Cartografia
Gorno,Gorno
Gorno – MappaPosizione del comune di Gorno nella provincia di Bergamo,Gorno – MappaPosizione del comune di Gorno nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
