Piario comune,Piario comune.1
,
Piario – VedutaVeduta con la parrocchiale di Sant'Antonio,Piario – VedutaVeduta con la parrocchiale di Sant'Antonio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Francesco Zanotti (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°53′46″N 9°55′26″E
Altitudine,550 m s.l.m.
Superficie,"1,55 km²"
Abitanti,1 003[1] (30-11-2025)
Densità,"647,1 ab./km²"
Frazioni,nessuna[2]; vedi elenco contrade
Comuni confinanti,"Clusone, Parre, Villa d'Ogna"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016163
Cod. catastale,G574
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 835 GG[4]"
Nome abitanti,piariesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Piario,Piario
Piario – MappaPosizione del comune di Piario nella provincia di Bergamo,Piario – MappaPosizione del comune di Piario nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
