Albano Sant'Alessandro comune,Albano Sant'Alessandro comune.1
,
Albano Sant'Alessandro – VedutaPanorama,Albano Sant'Alessandro – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Gianmario Zanga (lista civica area FdI) dal 4-10-2021
Territorio,Territorio
Coordinate,45°41′09″N 9°46′04″E
Altitudine,243 m s.l.m.
Superficie,"5,35 km²"
Abitanti,8 344[1] (30-11-2025)
Densità,"1 559,63 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Bagnatica, Brusaporto, Costa di Mezzate, Montello, Pedrengo, San Paolo d'Argon, Seriate, Torre de' Roveri"
Altre informazioni,Altre informazioni
Cod. postale,24061
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016003
Cod. catastale,A129
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 525 GG[4]"
Nome abitanti,albanensi
Patrono,san Cornelio e san Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
Albano Sant'Alessandro,Albano Sant'Alessandro
Albano Sant'Alessandro – MappaPosizione del comune di Albano Sant'Alessandro nella provincia di Bergamo,Albano Sant'Alessandro – MappaPosizione del comune di Albano Sant'Alessandro nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
