Gandellino comune,Gandellino comune.1
,
Gandellino – VedutaLa chiesa parrocchiale di San Martino,Gandellino – VedutaLa chiesa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Flora Donatella Fiorina (lista civica Uniti nel rinnovamento) dall'8-6-2009 (3º mandato dall'11-06-24)
Territorio,Territorio
Coordinate,45°59′24″N 9°56′47″E
Altitudine,675 m s.l.m.
Superficie,"25,13 km²"
Abitanti,939[1] (30-11-2025)
Densità,"37,37 ab./km²"
Frazioni,"Gromo San Marino, Tezzi[2]"
Comuni confinanti,"Carona, Gromo, Valbondione, Valgoglio"
Altre informazioni,Altre informazioni
Cod. postale,24020
Prefisso,0346
Fuso orario,UTC+1
Codice ISTAT,016107
Cod. catastale,D903
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 048 GG[4]"
Nome abitanti,gandellinesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Gandellino,Gandellino
Gandellino – MappaPosizione del comune di Gandellino nella provincia di Bergamo,Gandellino – MappaPosizione del comune di Gandellino nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
