Cisano Bergamasco comune,Cisano Bergamasco comune.1
,
Cisano Bergamasco – VedutaLa chiesa nuova di San Zenone,Cisano Bergamasco – VedutaLa chiesa nuova di San Zenone
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Antonella Sesana (lista civica) dal 5-6-2022
Territorio,Territorio
Coordinate,45°44′35″N 9°28′15″E
Altitudine,267 m s.l.m.
Superficie,"7,82 km²"
Abitanti,6 228[1] (30-11-2025)
Densità,"796,42 ab./km²"
Frazioni,"Bisone, Bondì, La Sosta, San Gregorio, Valbonaga, Villasola[2]"
Comuni confinanti,"Brivio (LC), Caprino Bergamasco, Monte Marenzo (LC), Pontida, Torre de' Busi"
Altre informazioni,Altre informazioni
Cod. postale,24034
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016074
Cod. catastale,C728
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 450 GG[4]"
Nome abitanti,cisanesi
Patrono,san Zenone/santo Stefano/san Gregorio Magno
Giorno festivo,12 aprile
Cartografia,Cartografia
Cisano Bergamasco,Cisano Bergamasco
Cisano Bergamasco – MappaPosizione del comune di Cisano Bergamasco nella provincia di Bergamo,Cisano Bergamasco – MappaPosizione del comune di Cisano Bergamasco nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
