Cazzano Sant'Andrea comune,Cazzano Sant'Andrea comune.1
,
Cazzano Sant'Andrea – VedutaUna veduta della cittadina.,Cazzano Sant'Andrea – VedutaUna veduta della cittadina.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Bergamo
Amministrazione,Amministrazione
Sindaco,Sergio Spampatti (Lega Nord) dal 26-5-2014
Territorio,Territorio
Coordinate,45°49′N 9°53′E
Altitudine,504 m s.l.m.
Superficie,"2,02 km²"
Abitanti,1 696[1] (30-11-2025)
Densità,"839,6 ab./km²"
Frazioni,nessuna[2]
Comuni confinanti,"Casnigo, Cene, Gandino, Leffe"
Altre informazioni,Altre informazioni
Cod. postale,24026
Prefisso,035
Fuso orario,UTC+1
Codice ISTAT,016067
Cod. catastale,C410
Targa,BG
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 785 GG[4]"
Nome abitanti,cazzanesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Cazzano Sant'Andrea,Cazzano Sant'Andrea
Cazzano Sant'Andrea – MappaPosizione del comune di Cazzano Sant'Andrea nella provincia di Bergamo,Cazzano Sant'Andrea – MappaPosizione del comune di Cazzano Sant'Andrea nella provincia di Bergamo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
